Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL
AL_BRIDGE,Natural Bridge,Natural Landmark,AL,34.4444,-87.0056,"Natural Bridge of Alabama - One of the longest natural bridges east of the Rocky Mountains. One of the most photographed natural landmarks in Alabama.",https://www.alapark.com/parks/natural-bridge-park
AK_DENALI,Denali (Mount McKinley),Mountain,AK,63.0694,-151.0070,"Denali, North America's highest peak at 20,310 feet. One of the most photographed mountains in the world, especially during golden hour.",https://www.nps.gov/dena/index.htm
AZ_SEDONA,Sedona Red Rocks,Scenic Area,AZ,34.8697,-111.7610,"Sedona's stunning red rock formations and vortex sites. One of the most photographed places in Arizona, known for its vibrant colors and spiritual energy.",https://visitsedona.com
AR_HOTSPRINGS,Hot Springs National Park,National Park,AR,34.5241,-93.0633,"Historic bathhouses and natural hot springs. One of the most photographed national parks in Arkansas.",https://www.nps.gov/hosp/index.htm
CA_GOLDENGATE,Golden Gate Bridge,Landmark,CA,37.8199,-122.4783,"Iconic suspension bridge spanning San Francisco Bay. One of the most photographed bridges in the world and a symbol of San Francisco.",https://www.goldengate.org
CA_HALFDOME,Half Dome,Natural Landmark,CA,37.7456,-119.5334,"Iconic granite dome in Yosemite National Park. One of the most photographed natural landmarks in California and the world.",https://www.nps.gov/yose/index.htm
CA_PCH,Big Sur Coastline,Scenic Drive,CA,36.2704,-121.8070,"Stunning Pacific Coast Highway section with dramatic cliffs and ocean views. One of the most photographed coastal drives in America.",https://www.bigsurcalifornia.org
CO_MESAARCH,Mesa Arch,Natural Arch,CO,38.3894,-109.8678,"Famous arch in Canyonlands National Park, especially beautiful at sunrise. One of the most photographed arches in Utah and Colorado region.",https://www.nps.gov/cany/index.htm
CT_MYSTIC,Mystic Seaport,Historic Village,CT,41.3614,-71.9636,"Historic maritime village and museum. One of the most photographed historic sites in Connecticut.",https://www.mysticseaport.org
DE_REHOBOTH,Rehoboth Beach Boardwalk,Beach,DE,38.7146,-75.0761,"Charming beach town with iconic boardwalk. One of the most photographed beaches in Delaware.",https://www.cityofrehoboth.com
